5.0,"J'ai joué et rejoué le jeu. je conseille à ceux qui voudraient en percevoir l'ambiance de tout simplement regarder l'intégrale sur youtube (5h environ pour la part 1), vous aurez quelques moments de gun mais surtout le scénario, dont celui de la part 2 est immense. j'ai rarement vu une telle tragédie visuelle, émotive. Alors ce premier volet est juste très bien réussi et aborde totalement l'univers de ce qui reste à mon sens le début d'une grande histoire entre les jeux video et la dramaturgie, et Last Of us est un chef d'oeuvre renvoyant à la poubelle des centaines de milliers de production définitivement perdues.Les acteurs sont parfaits, on ne les présentera plus car suffisamment connus dans le monde des séries, mais ce choix est idéal tant par le physique des acteurs très proches du jeux et sans fioritures cosmétiques, mais aussi par leur personnalité naturelle et bien entendu leur qualité d'acteur.L'ambiance est présente dès les premières minutes, magnifiée par les mouvements de caméra, des plans très proche du jeu, mais aussi de la série Cherno par exemple (ce qui en soit est une référence), la qualité du rythme et plus encore l'esthétique globale.La question ici n'est pas de dépasser le jeu (je trouve que la série est un cran au dessus parce que l'émotion humaine est encore supérieure à celle du virtuelle), mais de proposer à ceux qui ne jouent pas de découvrir cette oeuvre d'une noirceur rarement atteinte et d'une finesse rarement proposée dans le domaine du jeu, mais aussi dans ce registre cinématographique soit le style post apocalyptique et zombie (Walking dead est bien amateur à coté).Les non dît, regards, gestes et comportements sont subtilement présentés, interprétés. Le rapport en Joel et Ellie démarre dès le début. Si quelques moments différent du jeu c'est surtout pour en supprimer les actions inutiles et c'est ici que cette série innove car elle aurait pu, au moins dans ce premier épisodes, ajouter du remplissage en gore et actions, elle privilégie l'atmosphère du jeu (qui reste anxiogène et contemplative parfois) et la beauté graphique : rouille, délavée, sombre mais d'une saisissante beauté autant dépressive que merveilleuse et désabusée. Un décorum extraordinaire.Il reste à percevoir comment les crackers vont être ajoutés, les moments de grâce, de violence et d'anxiété purs aussi (le jeu en fourmille, j'avoue les détester).Nous ne sommes pas ici dans un énième film de zombie mais dans une tragédie qui grâce aux technologies actuelles permet de peindre un univers tellement glauque et réaliste, tout en ajoutant du pathos et surtout une profondeur humaniste noire et malheureuse, mais toujours assurée par un petit espoir, une humanité, une flamme certes triste, mais bourrée d'amour finalement.L'enthousiasme est au plus haut. la dernière fois que j'attendais une telle adaptation était pour le livre le seigneur des anneaux. Nous voila ici avec ce que va je pense marquer le monde des séries par sa qualité, c'est une réjouissance absolue.",1
4.0,"Globalement l'on est face à une adaptation réussie, le joueur ne pourra pas se sentir trahie, tant l'œuvre de base est respectée et ou là plupart des péripéties se retrouvent dans les épisodes. Pour avoir fait les 2 jeux à mainte reprises, cette saison 1 reprend dans les grandes lignes la trame principale du premier volet videoludique jusqu'au DLC, pourtant ce qui fait la force incroyable du jeux à savoir la relation Ellie/Joel et la montée crescendo des sentiments et émotions qui va naître entre entre-eux, n'est pas des mieux exploité ici, malgré ses 9h la série ne permet pas un développement assez poussé de leur relation et cela va paradoxalement un poil trop vite entre eux, bien sûr le jeux permet d'avoir un meilleur processus dans ce domaine au file des interactions, mais la série prend le temps pourtant de développer certains personnages notamment Bill et Franck, ou ce dernier n'es que suggéré dans le jeux, tout comme l'orientation sexuelle de Bill, et ce permet 1h15 d'épisode pour explorer leurs relations au détriment donc d'Ellie et Joël en soit c'est pas un mal d'avoir un background sur des personnages secondaires mais c'est dommage que cela soit au détriment des principaux personnages. Sinon l'ambiance est maîtrisée, les décors, la musique sont parfaitement réalisés et en accord avec le jeux.  Les acteurs s'en sortent très bien même Bella Ramsey. En attendant une saison 2 avec sûrement l'introduction d'Abbie et tout ce qui s'en suit pour les connaisseurs.",1
4.0,"Bon je vais de finir le premier épisode sur Prime Video et je dois dire que ça annonce du très bon pour la suite... Étant fan des 2 jeux qui sont selon moi des chef-d'œuvres vidéo-ludiques, j'avais peur d une adaptation cinématographique bâclée... Mes doutes se sont dissipés au fil de mon visionnage... Joël est bien le Joël du jeu... Un personnage torturé et endurci par le traumatisme de la mort de sa fille Sarah... Et Ellie est bien la Ellie du jeu... Une jeune fille maline, intelligente, attachante avec un caractère bien trempé... La série reprend la même trame que le jeu à quelques différences près en y ajoutant des trucs en plus sur le background des personnages... Du coup je redécouvre un peu l histoire... Des références au jeu qui font plaisir : la montre cassé de Joël et le switchblade d Ellie etc... Hâte de voir la suite... Mais vu comment s'est parti ça annonce du lourd... Je reviendrai sur mon avis après avoir vu les 9 épisodes de la série...",1
4.5,"Je n'ai jamais joué aux jeux vidéos, et c'est important pour cette critique. Malgré un premier épisode vraiment moyen, les trois autres sont excellents en tout point. Pedro Pascal et Bella Ramsey sont excellents et ont une très bonne alchimie. Le pont fort de la série, c'est son côté apocalyptique qui lui permet d'avoir de très beau décors, on sent la grandeur des décors et on ne voit pas les studios et on a une photographie sublime. Un 2 épisode presque horrifique qui est génial et un 3 épisode qui se concentre sur une relation homosexuel, et c'est très beau, les deux acteurs sont plus qu'incroyable. Bref j'ai hâte de voir la suite.",1
4.0,"Un début remarquable mais dès la seconde moitié du premier épisode, cela devient trop conventionnel. Je veux dire par là que j'ai trop perçu les codes classiques des films et séries apocalyptiques comme ""the walking dead"". A savoir les conflits de clans, la milice, les trafics au noir, la lutte des classes, l'espoir d'un monde meilleur, la situation permanente de survie. Toutes ces choses trop stéréotypées dans les films et séries de fin du monde. Maintenant je vous vois venir en affirmant que le jeu vidéo est sorti il y a 10 ans et donc il est un peu précurseur dans ce style : oui, il y a un peu de vrai mais cela reste quand même après ""the walking dead"". Cela dit et heureusement, j'ai quand même remarqué qu'un épisode n'est pas un autre. Plusieurs styles viennent alimenter l'histoire. Je trouve par exemple l'épisode 2 visuellement plus soigné bien plus palpitant que l'épisode 1. L'épisode 3 joue la carte de la sensibilité et l'émotion au travers d'une histoire secondaire. Cette diversité de style fait la singularité de cette série. Et il semble que ce sera la norme pour les épisodes suivants. Pour moi, c'est clairement la voie à suivre pour se différencier et atteindre le succès. J'ai trouvé aussi que les morts vivants sont de loin les plus plausibles de toutes ces séries de survie apocalyptiques : enfin une histoire de champignon qui tient un peu la route. Ce qui me semble par contre plus intéressant au delà de la survie, c'est la mission fil rouge en la personne du personnage de Ellie qui semble apporter une direction claire à l'histoire. Je n'ai pas joué au jeu ""Last of us"" mais j'ai quand même très vite ressenti un mode de gestion de la caméra tel un jeu vidéo. Cela ne m'a pas déplu, bien au contraire : cela apporte de l'innovation au niveau perception des évènements. Oui, c'est une très bonne série, très dynamique, divertissante et riche en suspens. Le curseur de la survie est clairement poussé à fond et c'est tant mieux. Un coté très dramatique est aussi mis très en avant au fur et à mesure des rencontres. Autre point positif selon moi : la série n'est pas horreur premier degré et j'ai apprécié cette retenue. Et puis le couple Ellie et Joel marche vraiment fort bien. Série à succès, cela va sans dire.",1
3.0,"Fan des jeux vidéo, je suis un peu déçus de cette série. Une série modifiant 50% de  l'histoire du jeu. On sent réellement qu'ils ont voulu bien faire tant les décors, l'univers est respecté jusqu'au détails des vêtements.La série est intéressante mais clairement pas fais pour les fans inconditionnels. Trop de modification scénaristique et des oublies d'éléments essentiel comme les spores ( un des modes de transmission du virus, élément essentiel dans le jeu ). Comme toute adaptation, des personnages qui ne ressemble en rien...Ensuite venons en au acteur : un Pedro pascal très bon dans le rôle de Joël, on sent qu'il a compris le personnage, bravo !Par contre Bella Ramsey une catastrophe... Je vous invite à joué ou rejoué au JV pour vous rendre compte qu'elle est totalement a coté de la plaque ! Elle a créer une Ellie menaçante, colérique, et craintive... Hors c'est absolument pas Ellie... Si Ellie avais était comme sa dans le Jv je pense que Joël l'aurais abandonné au bout de 2 min.Bref pour conclure est bien sûr mon avis est personnel : une série excellente pour des gens ne connaissant pas la licence et ou des joueurs ayant fais le jeu 1 fois où deux mais sans attache particulière.Une série sympa mais très frustrante pour les vraies fans tant les modifications sont trop importante et en plus sans intérêt !",1
5.0,"Le jeu repose principalement sur les rapports humains, sur les rapports au lien , à la perte ,  la rédemption, la résilience  et la survie ,  la serie   respecte parfaitement l excellent scénario du jeu tout en développant magistralement de nouveaux arcs narratifs cela  sert parfaitement la série ,  transcende  le jeu  et affine le propos .L'épisode 3 en particulier n'est pas si loin du film ""scène de la vie conjugale"" d' Ingmar Bergman. Cet épisode est probablement l'un des plus grands épisodes de série  de tous les temps.Un grand bravo .",1
5.0,"J'ai été terrassé par cet épisode 3. Pardon ce film. Le genre de chose qui vous fait réfléchir pendant 3 jours. Le genre d'épisode qui fait instantanément passer cette série de BONNE à EXCELLENTE. J'ai eu des feelings à la FOREST GUMP. Je me suis dit, mais si c'était vrai. S'ils avaient raison ? 3 jours. Cela fait 3 jours que j'y réfléchis. Et je me suis dit, oui, ils ont raison. Ne jamais oublier notre rôle. Dans cette vie. Jamais. Cet épisode, ce film, m'a bouleversé, et en bien. Bravo et pourtant j'adorais House of Dragon et Andor, mais là j'ai trouvé un truc qui me fait réfléchir depuis 3 jours et me remets en question. Quelle série. Elle ne va jamais là où on l'attend. Elle évite tous les poncifs du genre. Elle n'ennuie jamais. Je m'attendais à ceci et cela. Rien n'est venu. On a eu bien autre chose. Quelle série.",1
4.5,"Certes, on pourrait arguer que ça ressemble pas mal à ""La route"" avec un brin de ""Walking dead"", toutefois, les scripts de chaque épisode sont hyper soignés avec ce qu'il faut de tension, de suspense et d'émotion, les scénaristes n'hésitant pas une seconde à faire mourir des personnages que l'on pensait principaux ! Si je devais en garder 3, la palme reviendrait aux épisodes : 3 (celui avec le couple gay, très émouvant), 7 (l'histoire avec la meilleure amie, drôle et prenant) et 9 (très touchant et mettant en avant une facette autre d'un des principaux protagonistes). Mais cette série ne serait rien sans le formidable duo d'acteurs que forment Pedro Pascal et Bella Ramsey, criant de vérité avec leurs faiblesses mais surtout leur forces, ils constituent une paire de héros rarement vue sur les écrans et fortement attachants. Vivement la saison 2 de cette série fortement addictive !",1
5.0,"Quelle intelligence, quelle maîtrise, quel respect, les gamers sont enfin servis sir un plateau d'argent, et il était temps.The Last Of Us est un chef d'œuvre vidéoludique comme on en a rarement eu en 50 ans d'existence. Aucune envie de divulger quoi que ce soit quant à l'intrigue mais, étant totalement fan de la licence et avoir fait les deux opus 4 ou 5 fois, je ne peux que conseiller aux néophytes de bien s'accrocher à leur siège, vous allez être malmenés. Vos repères moraux vont être mis à rude épreuve car TLOU est voyage dont on ne ressort pas véritablement indemne. À l'heure où j'écris ces lignes, seul le pilote a été diffusé, mais on le sent tout de suite lorsque le géniteur d'un projet est aux manettes, l'amour de sa progéniture transpire à l'écran. Je ne doute pas une seconde sur le fait que la saison entière conservera ses qualités jusqu'au grand final, et quel final...Si toi, scroller du dimanche, es tombé sur ce commentaire d'un passionné, j'espère de tout coeur t'avoir convaincu à te connecter sur Prime Video pour satisfaire ta curiosité, tu n'en seras pas déçu, mais ébahoui. Bon visionnage.",1
2.0,"Étant fan inconditionnel du jeu depuis son apparition sur PS3, je trouve la série ennuyeuse, trop éloignée du matériel d'origine. J’ai l’impression que le casting s’est quand même planté, enfin pas totalement car il respecte un certain cahier des charges. Certains passages n'apportent rien au développement de l'histoire dans un monde post apocalyptique. Je trouve la décevante pourtant que j’aime ces univers, le manque de subtilité d’HBO a vouloir faire plaisir aux communautés semble avoir oublié l’essentiel à mon grand regret.",0
2.0,"Un début de série bien en dessous de la qualité scénaristique du jeu et une approche émotionnelle moins percutante , mais jusque là c'était pas trop mal dans l'ensemble . Mais malheureusement la suite fera rapidement abstraction de scènes d'action et de tension qui mettaient le joueur dans l'ambiance , ainsi que les rencontres et dialogues avec certains personnages , pour remplacer le tout par une interminable et inintéressante passion dans l'unique but de délivrer le , désormais , incontournable message progressiste qu'on retrouve partout , imposé comme la norme au cinéma .C'est une chose qui m'irrite personnellement , comme m'irrite un entracte publicitaire qu'on impose au spectateur .Je n'irai pas plus loin , trop déçu par cet intermède insipide complétement à l'opposé de mes attentes vis à vis de cette adaptation.",0
2.0,"Grand fan et grand amateur des jeux The Last of Us 1 et 2, j'attendais beaucoup (trop ?) de cette série HBO, surtout que j'avais adoré Chernobyl ou Game of Thrones...Après des épisodes 1 et 2 plutôt réussis (j'avais bien aimé les 2 prologues de début d'épisode), j'avais été particulièrement déçu par l'épisode 3 pro LGBT qui pour moi n'avait rien à faire dans une série tenant au départ sur seulement 9 épisodes de 50 minutes, alors que le jeu tient lui sur 17 ou 18 heures.Les épisodes suivants m'ont encore plus déçus : tout ce qui faisait l'intérêt et le contenu captivant du jeu original est ici à peine frôler ou carrément zappé...D'ailleurs, toutes les séquences d'action avec les infectés (claqueurs, coureurs, rodeurs, puants, etc...) qui font que Elie et Joel se rapprochent petit à petit n'existent pas (ou quasiment pas) dans la série.Si l'on aperçoit 3 infectés et 1 colosse dans toute la série, c'est le bout du monde !Si Pedro Pascal s'en sort pas trop mal, même si le Joel qu'il incarne est trop doux, Bella Ramsey n'est pas du tout Ellie, tant physiquement que du point de vue de son caractère trop agressif (l'Ellie du premier jeu est plus douce et ""angélique"").Certains épisodes sont limite risibles tant ils sont bancals et mal réalisés.Seuls les 2 derniers réalisés par Ali Abbasi ne sont pas trop mal malgré leur trop faible durée.Pas mal de détails sont ridicules :- tous les personnages sont physiquement trop bien portants (pas assez maigres) alors qu'ils vivent tous dans un monde post-apocalyptique dans lequel ils sont sensés crever de faim (faites la comparaison avec le film La Route...),- leurs vêtements sont souvent trop neufs comme s'ils sortaient de boutique,- on n'a jamais l'impression d'être un monde dangereux où votre vie risque de basculer à tout moment et où l'on manque de tout (voir la représentation de la ville de Jackson... on se croirait à Disneyland),- les rares infectés sont mal faits, trop fake et trop ""plastique"",- beaucoup de personnages de type caucasien dans le jeu ont été remplacés dans la série par d'autres ethnies plus en phase avec la mouvance actuelle (cotas imposés...) et ça, ça devient quand même de plus en plus insupportable.Bref, au final, quelques bonnes séquences, certains décors bien réalisés, mais sinon globalement la série n'est hélas pas terrible (encore une fois à mon plus grand regret).Si vous voulez réellement être en phase avec les personnages et ressentir beaucoup plus d'émotions, je vous invite à jouer aux jeux : vous ne le regretterez pas !",0
0.5,"Pour commencer je n'ai jamais joué au jeu vidéo.Ensuite j'ai vu 1 ou 2 let's play, ont peut dire que pas mal de choses sont des scènes du jeu.Les acteurs sont plutôt bons sauf Bella Ramsey qui hélas a été mal castée car visuellement elle ne colle pas et au niveau de l'acting c'est terrible. (Cela fait plaisir de voir l'actrice principale de la serie Fringe)Il semble qu'il y ai beaucoup de modifications avec les jeux, pour moi en dehors de quelques choix de rôles qui sont vraiment idiots, et toujours les réactions débiles à l'américaine des personnages m'ont fait décrocher assez vite le reste est correcte.""Correcte"" pour une série d'aprés-midi car niveau scénario et effets c'est pas la panacée, toujours plein de flous d'économie des caméras qui tremblent comme porté à l'épaule vraiment inutiles.Bon au niveau technique c'est pas dégueux mais ça fait cheap de nos jours. Du coup ça pose problème quant certaines scènes comme celle du corps de l'indonésienne et des champignons animés qui font plus nature et toujours cheap mais une fois l'effet des champignons découvert c raté et pas logique. Plein de scènes ont ce problème, comme tout se passait sur fond vert en permanence. la sensation sabote l'immersion.Le scénario casse pas 3 pattes à un canard, c'est d'un basique formidable.Et surtout il n'y a strictement rien de nouveau en dehors de faire un épisode 3 pour faire plaisir à la communauté LGBT. (totalement dispensable à l'histoire)Pour le moment une série un peu médiocre qui essaie de placer des éléments et clin d'oeil du jeu vidéo mais sans classe.Et un peu trop au forceps pour un film.je pense que 2 étoiles c suffisant, je rajoute 1/2 étoile pour l'effort.Rapport :spoiler:EP4 : walking dead full clichés assez médiocre mais plus court.
Ep5 : Un max de clichés pas la moindre trace de créativité ou de recherche tout est ultra cousu pas de prise de risque.
Ep6 : Jolis paysages , rien de spécial ont s'ennuie et il y a beaucoup trop d'incohérences visuelles et de facilités (manque de travail)
Ep7 : sans interet, basique,prévisible, bella donne toujours l'impression de mal jouer la plupart du temps. ont s'ennuie...
Ep 8 : Rien de bien, [spoiler]juste le tour du religieux fanatique habituel sans créativité avec des erreurs de serie BEp 9 : un démarrage avec une écriture d'une misère absolue et des faux raccord à foisonspoiler:C'est le coup de la femme enceinte sans aucune mise en place avec le premier faux raccord de morsure exactement aussi mal traité que dans L'Ep 7.Bilan : une série B d'une profonde médiocrité, sauvé par quelques rares bon acteurs dont pedro pascal qui la plupart du temps sauve la mise, mais vraiment pas le scénario/écriture d'une totale insipidité. Les incohérences sont trop nombreuses, les effets assez chiches et mal voir très mal utilisés.Le traitement trop ""contemplatif"" que moi je considère comme du vide économique est le même dans la totalité de la saison.Matériellement la série pourrait être écourté de moitié ça ne changerai rien et même ne pas porter le nom de The Last Of US que ça n'y changerai rien.En ce qui me concerne je le classe dans les séries à oublier.",0
2.0,"Serie qui aurait put avoir un potentiel énorme malheureusement gâchée par cette erreur de casting catastrophique sur le personnage d'Ellie..... On est tellement loin du personnage attachant au regard profond avec cette étincelle d'intelligence du jeux vidéo.Bella ramsey, sérieux les gars c'est quoi cette tête, tu devine que tu ne t'attachera jamais au perso.. Trop différente.J'aurais par exemple mieux vu l'actrice qui joue la fille de Joël au debut, tres bonne actrice, emotion toussa, nickel.Dommage",0
0.5,"Soit des scènes copier coller du jeu-vidéo, soit Élie qui semble être aussi indigeste que Galadriel dans les anneaux de pouvoir (ils aiment ça chez amazon !), et je sais pas si elle joue mal ou est très mal dirigée mais je trouve la performance pas du tout convaincante, en plus de ça je comprends pas ce personnage sérieux, elle oscille toujours entre 3 états, soit elle essai de se rendre intéressante (ça ne marche pas), soit elle est imbuvable avec son entourage, soit elle pose des questions toutes les 2 secondes comme une pauvre fille perdue, seul moyen pour le spectateur de ""découvrir ce monde post-apo à travers ses yeux"" sinon il l'aurait fait à 100% insupportable je pense XD.Des scènes qui n'ont aucun sens => Dans l'épisode 1 pendant la fuite de Joël et sa fille, quand des carcasses de voitures bloquent le chemin entre eux et le frère de Joël et doivent se séparer pour se retrouver de l'autre côtés, mettez pause : la voiture sensée les bloquer possède à l'avant et à l'arrière des issus pour passer et rejoindre tranquillement et directement son frère à pas plus d'un mètre au dessus du sol... C'est bien de copier le jeu, aussi faut-il ne rien oublier quand on dit ""action"". Et c'est justement le problème, les seuls scènes intéressantes sont toutes reprises du jeu, avec de temps en temps des flashs back du premier jour de la pandémie chez par exemple la chercheuse en mycologie, qui essai de nous faire revivre l'instant fatidique ou tout par en vrille pour vraisemblablement essayer de palier au manque de rythme qui règne a chaque fois dans tout le reste de l'épisode.Le visuelle est beau et les créatures sont bien faites bien sur (=> amazon).Derniers points négatif (le plus gros en fait) : je vais dire le mot en W vu que dès que le mot sort, le site censure toute personne aillant des idées qui ne vont pas dans le sens de cette mode intolérante (déjà 3 fois modifié j'ai tout essayé, mettre des "" * "", ne pas finir le mot, etc... donc voilà j'imagine que vous comprendrez. Heureusement que ça n'arrive que maintenant sinon le singe aurait évolué ver de terre...Voilà je viens de boucler la série... Que dire... Immonde ! Zéro",0
0.5,"Je ne vais pas partager l'enthousiasme presque général. Déjà j'ai fait les 2 jeux et autant j'ai adoré le 1 autant j'ai détesté le 2 par le fait qu'on nous manipulait trop en voulant nous faire jouer le personnage Abby, ce qui cassait complétement le narratif et n'apportait rien. Il y ici un gros problème avec le casting. On se permet de changer les personnages, comme celui de Joël mais aussi Ellie sans aucune justification. Encore  Pedro Pascal ça passe mais Bella Ramsey c'est juste pas possible. Elle ne colle pas du tout au personnage et pour moi c'est irregardable. L'autre élément rédhibitoire, et qui faisait le sel du jeu, et le fait d'enlever la transmission du virus par les spores.",0
1.5,"Après 7 épisode, je lâche complet, autant les deux premiers nous donnaient volontiers envie de suivre les aventures de Joël et Ellie mais là ils sont très loin de ce qui a fait le succès du jeux vidéo. Déjà l'épisode 3, passerplus d'une heure sur un couplé d homosexuels qui ne sert absolument pas l'histoire, je me posais déjà des question et puis l'épisode 7, c'est carrément le dlc du jeu et qui ne sert strictement a rien, à part servir l'idéologie W... . Et franchement l actrice qui joue Ellie est vraiment mauvaise et on ne montre que son côté chieuse et vulgaire, ducoup impossible de s'attacher. Vraiment déçu du message que veut faire passer la serie.",0
0.5,"Que dire ?Tellement de chose.Les jeux m’avaient guéri. Avaient réparer quelques choses en moi.Les jeux m’avaient fait rire, pleuré, espéré …Les jeux en soient suffisaient tant à raconter une histoire d’amour, de violence, bref une histoire humaine. Un chef d’œuvre du videoludisme qui se suffisant à lui même.Et voilà que le démon de l’argent tape à la porte « faisons en une série ».Et c’est, sans surprise, raté !Et tant mieux.Pourquoi ?Tant à dire …. Et même pas l’envie de tout expliquer.Plutôt lister :- une Ellie complément à côté de la plaque- suppression des spores avec un nouveau concept qui n’est même pas exploiter. Ben oui après on peut marcher ou on veut sans souci plus rien à faire.- un épisode 3 chiant à mourir (alors oui on peut être gay dans un monde post apo, s’aimer etc … c’est pas le problème. Le problème c’est que les jeux nous l’amenait avec naturel et sans appuyer sur la grosse carte de l’émotion facile) Première a défendre le jeu face à tous ces haineux homophobes, je suis pourtant la première à dire que cette épisode : on s’en fout un peu ….- un Joel qui s’attache trop vite à Ellie, trop facile à décrypter- on ose nous dire « on met pas trop les infectés pour appuyer sur les rapports humains » hors les superbes moments du jeux qui nous plongeaient dans cette adrénaline avaient leurs places quoiqu’on en dise.Pourquoi ? Il suffit de regarder The Walking Dead pour voir que c’est faisable si on a juste un peu d’imagination. Dans la série l’apparition d’un colosse ne nous fait finalement ni chaud ni froid.- pourquoi coller autant au dialogue du jeu si vous vouliez être imaginatif- un petit repas de famille alors qu’on sait que c’est hyper dangereux de passer d’une vile à une autre ???? Sérieux !!!- des personnages secondaires bien moins intéressants que dans le jeu- du dans service dont les vrais fans se foutent royalement (cf paillette, Dina etc …. Encore un manque d’imagination).- aucune séquence d’infiltration digne de ce nom et pourtant c’était possibleBrefUn plantage, la palme revenant au choix de l’actrice principale.Que cette série tombe dans l’oublie.Longue vie aux jeux vidéos !",0
1.5,"Ma critique risque de piquer.Quand j’apprends qu’un des meilleurs jeux vidéo récent est adapté par la très sérieuse HBO, avec à l’écriture le créateur du jeu vidéo lui-même Neil Druckmann. Les attentes deviennent folles et aussi hautes que peut l’être une série TV.Et puis, la douche froide : un premier épisode qui décalque le jeu, sans arriver à lui donner son ambiance apocalyptique, tendue, nerveuse et marquante avec la mort de la fille de Joel.Les autres épisodes ne font pas mieux malheureusement, même si les décors, vêtements, accessoires font honneur à l’univers du jeu.Mais la réalisation en mode pantoufle, digne d’un mauvais téléfilm de dimanche après-midi ennuie, la tension est absente, le sentiment de danger, de vulnérabilité, de fragilité des personnages est invisible.Pire, le sous-texte de l’histoire est la relation contrariée père-fille, de Joel, qui a perdu sa fille unique dans un drame, et d’Ellie, orpheline n’ayant jamais connu la chaleur familiale.Mais les auteurs préfèrent s’attarder sur des personnages secondaires, sans véritable importance sur le récit.Tous les passages iconiques du jeu sont recrées de manière maladroite, confuse, et présentée au téléspectateur sans convictions, comme du fanservice de m*rde.J’aime bien Pedro Pascal, en homme taiseux, hanté par le deuil de sa fille.Mais l’actrice Bella Ramsey n’a pas le physique ni le jeu d’acteur approprié à son personnage. On rappelle qu’Ellie est limite une sociopathe qui attend que son compagne d’infortune dorme pour lui trancher la gorge dans son sommeil. Et là, on a la version Disney.Les choix artistiques vont à l’encontre de l’idée même du jeu : l’absence de violence, des conséquences de cette violence, du sentiment d’amoralité, d’injustice, de folie.Toutes les scènes un peu trop gores/dures sont suggérées par du hors champ.La série a été vidée de sa substance, aseptisée, édulcorée, pour ratisser le plus large, devenant de manière tout aussi absurde, un drama banal dans un vague univers post-apo.Navrant, mais l’oeuvre passe à côté de toute la force de son matériau d’origine.Peut-être pas la pire adaptation de jeu vidéo (Uwe Boll a de l’avance sur le sujet), mais loin d’être la meilleure, et surtout loin d’une adaptation fidèle.",0
